preco;condominio;area;quartos;vagas;banheiros;link;imobiliaria;data_scrape;bairro;status;tipo;last_seen
2200000.0;;600.0;0;10;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/nova-piracicaba/comercial-comprar-nova-piracicaba-em-piracicaba/148540;Frias_neto;2024-01-17;Nova_piracicaba;Compra;Casa;2024-02-06
2180000.0;;904.0;4;2;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/terras-de-artemis/residencial-comprar-terras-de-artemis-em-piracicaba/148443;Frias_neto;2023-11-29;Artemis;Compra;Apartamento;2024-02-12
2150000.0;;384.72;3;2;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-bela-vista/residencial-comprar-villa-bela-vista-em-piracicaba/149675;Frias_neto;2024-01-31;Villa_bela_vista;Compra;Apartamento;2024-02-12
2100000.0;;536.3;3;5;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/sao-dimas/residencial-comprar-sao-dimas-em-piracicaba/85889;Frias_neto;2023-10-30;Sao_dimas;Compra;Casa;2024-02-12
2100000.0;;1087.18;4;5;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/colinas-do-piracicaba-artemis/residencial-comprar-colinas-do-piracicaba-artemis-em-piracicaba/144001;Frias_neto;2023-10-30;Artemis;Compra;Apartamento;2024-02-12
2100000.0;;512.55;0;25;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/145232;Frias_neto;2024-01-17;Centro;Compra;Casa;2024-01-22
2100000.0;;326.4;0;4;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/alemaes/comercial-comprar-alemaes-em-piracicaba/148412;Frias_neto;2023-11-29;Alemaes;Compra;Casa;2024-02-12
2050000.0;;6034.0;3;20;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/santa-rita/residencial-comprar-santa-rita-em-piracicaba/146356;Frias_neto;2023-10-30;Santa_rita;Compra;Casa;2024-02-12
2000000.0;;800.0;5;0;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/70586;Frias_neto;2023-10-30;Centro;Compra;Casa;2024-01-28
2000000.0;;540.0;3;8;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/vila-rezende/residencial-comprar-vila-rezende-em-piracicaba/144962;Frias_neto;2023-10-30;Vila_rezende;Compra;Casa;2024-02-12
2000000.0;;653.42;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/72959;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
2000000.0;;504.0;0;0;0;https://www.friasneto.com.br/comprar/comercial/piracicaba/piracicamirim/comercial-comprar-piracicamirim-em-piracicaba/134999;Frias_neto;2023-10-30;Piracicamirim;Compra;Casa;2024-02-12
2000000.0;;551.39;4;6;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/143822;Frias_neto;2023-10-30;Centro;Compra;Casa;2024-02-12
2000000.0;;1099.0;0;0;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/campestre/comercial-comprar-campestre-em-piracicaba/142591;Frias_neto;2023-10-30;Campestre;Compra;Casa;2024-02-12
1990000.0;;228.0;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/127349;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
1980000.0;;512.55;0;25;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/145232;Frias_neto;2024-01-22;Centro;Compra;Casa;2024-02-12
1980000.0;;854.0;4;8;3;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/144014;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Casa;2024-02-12
1980000.0;;600.0;0;10;4;https://www.friasneto.com.br/comprar/comercial/piracicaba/nova-piracicaba/comercial-comprar-nova-piracicaba-em-piracicaba/148540;Frias_neto;2024-02-07;Nova_piracicaba;Compra;Casa;2024-02-12
