preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
650.0;54.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_nova_iguacu-apartamento-1593;Junqueira;Jardim_nova_iguacu;2023-10-07;2023-10-07
650.0;54.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-54-m-com-2-quartos-gleba-california-piracicaba/AP5391-003?from=sale;duo imoveis;Gleba_california;2023-11-30;2023-11-30
650.0;55.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-55-m-com-2-quartos-vila-monteiro-piracicaba/AP5996-003?from=sale;duo imoveis;Vila_monteiro;2023-11-28;2023-12-18
650.0;56.0;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/maracana/residencial-alugar-maracana-em-piracicaba/148516;Frias Neto;Maracana;2023-11-23;2023-12-12
650.0;57.7;2;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-rio_das_pedras-jardim_bom_jesus-casa-1385;Junqueira;Jardim_bom_jesus;2023-10-07;2023-10-07
650.0;60.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-2807;Junqueira;Centro;2023-10-07;2023-10-07
650.0;66.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-66-m-com-2-quartos-alto-piracicaba/AP3659-003?from=sale;duo imoveis;Alto;2023-10-31;2023-11-17
650.0;66.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-66-m-com-2-quartos-alto-piracicaba/ap3659-003?from=sale;duo imoveis;Alto;2023-11-01;2023-11-03
650.0;87.0;0;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-cidade_alta-sala_comercial-24456;Junqueira;Cidade_alta;2023-10-07;2023-10-07
650.0;93.3;1;2;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-rio_das_pedras-jardim_maria_antonieta-casa-2911;Junqueira;Jardim_maria_antonieta;2023-10-07;2023-10-07
650.0;127.0;2;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-apartamento-2666;Junqueira;Centro;2023-10-07;2023-10-07
650.0;202.5;1;0;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/ondas/residencial-alugar-ondas-em-piracicaba/141974;Frias Neto;Ondas;2023-10-07;2023-12-18
650.0;421.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-terreno-21032;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
650.0;1264.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/140143;Frias Neto;Centro;2023-10-07;2023-12-18
650.0;1264.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/140144;Frias Neto;Centro;2023-10-07;2023-12-18
660.0;20.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/146814;Frias Neto;Centro;2023-10-07;2023-11-12
